N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column
256,scaled_r,1.5,22,1.5,1.1123351056970905,0.2721237126858257,0.18483310712640644,0.1457809920546696,44,45
256,scaled_r,1.55,23,1.55,1.116079609220327,0.27304637025417894,0.19167818069252435,0.15473590043505622,46,47
256,scaled_r,1.6,24,1.6,1.119824112743563,0.2739692361364638,0.19859568492308272,0.1636299617826748,48,49
256,scaled_r,1.75,25,1.75,1.1310576233132723,0.27673909907287897,0.2196117566786904,0.18982553605636548,50,51
256,scaled_r,2,26,2.0,1.149780140929454,0.28135984725216273,0.2546507460482719,0.23138691614287415,52,53
256,scaled_r,2.25,27,2.25,1.1685026585456357,0.28598614927777416,0.28858257693362355,0.26990435863611717,54,55
256,scaled_r,2.5,28,2.5,1.1872251761618173,0.29061819675587,0.3206750042922001,0.3052824507349559,56,57
256,scaled_r,2.75,29,2.75,1.2059476937779992,0.2952561808707235,0.35062484608673683,0.3376474473318268,58,59
256,scaled_r,3,30,3.0,1.224670211394181,0.2999002924104355,0.37837611392767917,0.3672208717677807,60,61
256,fixed_alpha,1.01,31,0.13352905048620542,1.01,0.24698280240676612,0.06673149238437122,8.89030870783047e-10,62,63
256,fixed_alpha,1.03,32,0.40058715145861623,1.03,0.2518856047263533,0.07896740049301096,0.000913411442080404,64,65
256,fixed_alpha,1.05,33,0.6676452524310271,1.05,0.2567933324266264,0.09552070227043526,0.014554447210140093,66,67
256,fixed_alpha,1.075,34,1.001467878646539,1.075,0.262935280264487,0.12439064721820602,0.05809528966685378,68,69
256,fixed_alpha,1.1,35,1.3352905048620543,1.1,0.2690857575821216,0.163025569495524,0.11606393119265018,70,71
256,fixed_alpha,1.2,36,2.670581009724105,1.2,0.2937821497998332,0.3413495506239955,0.32768,72,73
1024,scaled_r,0,0,0.0,1.0,0.24453317379349931,0.030906434769006546,0.0,0,1
1024,scaled_r,0.1,1,0.1,1.0059912056371783,0.24600065763033135,0.0327231029523948,8.224040654324407e-16,2,3
1024,scaled_r,0.2,2,0.2,1.0119824112743563,0.2474685577670992,0.03476343147847307,2.759481170376519e-08,4,5
1024,scaled_r,0.3,3,0.3,1.0179736169115345,0.24893688062504815,0.03706966390605141,8.900266732765008e-06,6,7
1024,scaled_r,0.4,4,0.4,1.0239648225487126,0.25040563261859133,0.03969347641224605,0.00015984054666064068,8,9
1024,scaled_r,0.5,5,0.5,1.0299560281858908,0.25187482015540885,0.04269774081155217,0.0009041786040721102,10,11
1024,scaled_r,0.6,6,0.6,1.0359472338230689,0.2533444496365457,0.046158041162309094,0.0028705370800415518,12,13
1024,scaled_r,0.7,7,0.7,1.0419384394602471,0.254814527456505,0.05016329494324971,0.006551254556308476,14,15
1024,scaled_r,0.8,8,0.8,1.0479296450974254,0.25628506000334694,0.05481438121007997,0.012164479277736132,16,17
1024,scaled_r,0.85,9,0.85,1.0509252479160143,0.25702049879388067,0.057415802102758505,0.015695040720471454,18,19
1024,scaled_r,0.9,10,0.9,1.0539208507346034,0.2577560536587866,0.060219250531991196,0.019684953469427075,20,21
1024,scaled_r,0.95,11,0.95,1.0569164535531925,0.25849172539480353,0.06323769856952872,0.024107434092187414,22,23
1024,scaled_r,0.975,12,0.975,1.058414254962487,0.25885960533835395,0.06483131529188152,0.02647121545542906,24,25
1024,scaled_r,1,13,1.0,1.0599120563717817,0.2592275147982836,0.06648301512375022,0.028931139262048385,26,27
1024,scaled_r,1.025,14,1.025,1.0614098577810762,0.2595954538740778,0.06819401344242551,0.03148288872179824,28,29
1024,scaled_r,1.05,15,1.05,1.0629076591903708,0.25996342266519923,0.06996538245451434,0.03412207796045887,30,31
1024,scaled_r,1.1,16,1.1,1.0659032620089597,0.2606994497911429,0.07369269683200372,0.03964510788384396,32,33
1024,scaled_r,1.15,17,1.15,1.0688988648275488,0.2614355969713306,0.07767000835655688,0.045465065616917426,34,35
1024,scaled_r,1.2,18,1.2,1.071894467646138,0.26217186500060524,0.08189906209489088,0.051547589900377964,36,37
1024,scaled_r,1.3,19,1.3,1.077885673283316,0.2636447667839462,0.0911012613291095,0.06437015873781833,38,39
1024,scaled_r,1.4,20,1.4,1.0838768789204942,0.26511816149255957,0.10124098682146318,0.0778712894257309,40,41
1024,scaled_r,1.45,21,1.45,1.0868724817390834,0.2658550456770733,0.10662996129807766,0.08480982021426625,42,43
