resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
high,1,1.5,0.54959999999999998,0.33520550000330984,0.33520550000330984,1.0406418086158054,27,9.234060763939415e-15
high,1,1.5,0.55120000000000002,0.33505225849647358,0.33505225849647358,1.0392829115171764,27,1.0716913323912702e-14
high,1,1.5,0.55279999999999996,0.33490195276658213,0.33490195276658213,1.0379353544526582,27,1.2388885346373547e-14
high,1,1.5,0.5544,0.33475457483071458,0.33475457483071458,1.0365990905863405,27,1.4349178278741716e-14
high,1,1.5,0.55600000000000005,0.33461011764680942,0.33461011764680942,1.0352740733781487,27,1.6590177771458698e-14
high,1,1.5,0.55759999999999998,0.33446857877451397,0.33446857877451397,1.0339602565821795,27,1.9189970800663537e-14
high,1,1.5,0.55920000000000003,0.33432995156397133,0.33432995156397133,1.0326575942450551,28,6.943716274326016e-15
high,1,1.5,0.56079999999999997,0.33419422954310191,0.33419422954310191,1.0313660407042933,28,8.0922078747876996e-15
high,1,1.5,0.56240000000000001,0.33406140752610963,0.33406140752610963,1.0300855505866939,28,9.4539902381699622e-15
high,1,1.5,0.56400000000000006,0.33393147902704018,0.33393147902704018,1.0288160788067466,28,1.0954960267779237e-14
low,1,1.5,0.56400000000000006,0.33394806121800696,0.33394806121800696,1.0288160788067466,28,1.0965233873774713e-14
medium,1,1.5,0.56400000000000006,0.33393657716910669,0.33393657716910669,1.0288160788067466,28,1.0878215425781328e-14
high,1,1.5,0.56559999999999999,0.33380443844566371,0.33380443844566371,1.0275575805650519,28,1.2739913608320647e-14
high,1,1.5,0.56720000000000004,0.33368028452150128,0.33368028452150128,1.0263100113467607,28,1.4780027574259089e-14
high,1,1.5,0.56879999999999997,0.33355900646585462,0.33355900646585462,1.0250733269200332,28,1.7226696951355064e-14
high,1,1.5,0.57040000000000002,0.33344059993576636,0.33344059993576636,1.0238474833345088,28,1.9802142891390521e-14
high,1,1.5,0.57200000000000006,0.33332506214038149,0.33332506214038149,1.0226324369197997,29,7.5276143260816751e-15
high,1,1.5,0.5736,0.33321238687912486,0.33321238687912486,1.0214281442839974,29,8.7191571007434714e-15
high,1,1.5,0.57520000000000004,0.33310256695621721,0.33310256695621721,1.0202345623121958,29,1.0203060519647488e-14
high,1,1.5,0.57679999999999998,0.33299559868505385,0.33299559868505385,1.0190516481650336,29,1.1826772794267088e-14
high,1,1.5,0.57840000000000003,0.33289147616455478,0.33289147616455478,1.0178793592772499,29,1.3918695605265205e-14
high,1,1.5,0.57999999999999996,0.33279019458736736,0.33279019458736736,1.0167176533562583,29,1.6142501867348592e-14
low,1,1.5,0.57999999999999996,0.33280730052162338,0.33280730052162338,1.0167176533562583,29,1.6159032841061537e-14
medium,1,1.5,0.57999999999999996,0.33279545868488875,0.33279545868488875,1.0167176533562583,29,1.6216034550972746e-14
high,1,1.5,0.58160000000000001,0.33269174734970131,0.33269174734970131,1.0155664883807367,29,1.8928610937389103e-14
high,1,1.5,0.58319999999999994,0.33259613281981737,0.33259613281981737,1.0144258225992346,30,7.4791325154616422e-15
high,1,1.5,0.58479999999999999,0.33250334758086614,0.33250334758086614,1.0132956145287948,30,8.6628102878451523e-15
high,1,1.5,0.58640000000000003,0.33241337806973081,0.33241337806973081,1.0121758229535929,30,1.0144838008790045e-14
high,1,1.5,0.58799999999999997,0.33232622728316102,0.33232622728316102,1.0110664069235922,30,1.1898562412789469e-14
high,1,1.5,0.58960000000000001,0.33224188708046776,0.33224188708046776,1.0099673257532147,30,1.3839237850969249e-14
high,1,1.5,0.59119999999999995,0.33216035329448901,0.33216035329448901,1.0088785390200272,30,1.618041241419721e-14
high,1,1.5,0.59279999999999999,0.33208161933652369,0.33208161933652369,1.0078000065634483,30,1.889026937742349e-14
